Id,Date,AverageHeartRate,MinimumHeartRate,MaximumHeartRate,HeartRateReadings,DayOfWeek,Month,MonthName
4558609924,2016-05-11,74.92,44,138,6441,Wednesday,5,May
4558609924,2016-05-12,79.68,54,117,3842,Thursday,5,May
5553957443,2016-04-12,64.37,50,106,8370,Tuesday,4,April
5553957443,2016-04-13,61.48,47,95,8051,Wednesday,4,April
5553957443,2016-04-14,72.56,51,133,9922,Thursday,4,April
5553957443,2016-04-15,69.02,50,123,9135,Friday,4,April
5553957443,2016-04-16,66.02,50,116,8238,Saturday,4,April
5553957443,2016-04-17,59.38,49,84,1437,Sunday,4,April
5553957443,2016-04-18,65.38,53,91,7963,Monday,4,April
5553957443,2016-04-19,74.89,49,128,10572,Tuesday,4,April
5553957443,2016-04-20,60.04,48,84,8239,Wednesday,4,April
5553957443,2016-04-21,71.33,49,127,8951,Thursday,4,April
5553957443,2016-04-22,70.43,51,128,9088,Friday,4,April
5553957443,2016-04-23,67.07,52,94,8275,Saturday,4,April
5553957443,2016-04-24,63.97,50,92,7857,Sunday,4,April
5553957443,2016-04-25,72.05,52,132,9165,Monday,4,April
5553957443,2016-04-26,73.01,53,128,8923,Tuesday,4,April
5553957443,2016-04-27,65.07,49,104,8705,Wednesday,4,April
5553957443,2016-04-28,71.07,51,149,9114,Thursday,4,April
5553957443,2016-04-29,73.07,50,156,11959,Friday,4,April
5553957443,2016-04-30,65.78,49,89,8018,Saturday,4,April
5553957443,2016-05-01,66.54,49,116,7664,Sunday,5,May
5553957443,2016-05-02,72.59,50,125,9751,Monday,5,May
5553957443,2016-05-03,69.95,50,134,9365,Tuesday,5,May
5553957443,2016-05-04,61.67,47,108,8459,Wednesday,5,May
5553957443,2016-05-05,69.4,49,165,9596,Thursday,5,May
5553957443,2016-05-06,63.17,51,104,7143,Friday,5,May
5553957443,2016-05-07,63.03,51,140,2496,Saturday,5,May
5553957443,2016-05-08,65.57,51,110,8317,Sunday,5,May
5553957443,2016-05-09,76.66,51,149,10059,Monday,5,May
5553957443,2016-05-10,76.83,53,133,10173,Tuesday,5,May
5553957443,2016-05-11,65.4,54,103,7860,Wednesday,5,May
5553957443,2016-05-12,64.2,54,107,2309,Thursday,5,May
5577150313,2016-04-12,65.66,41,154,8685,Tuesday,4,April
5577150313,2016-04-13,59.7,44,121,3829,Wednesday,4,April
5577150313,2016-04-14,76.84,43,172,9806,Thursday,4,April
5577150313,2016-04-15,73.68,39,157,17001,Friday,4,April
5577150313,2016-04-16,69.84,43,136,29330,Saturday,4,April
5577150313,2016-04-17,71.12,40,174,8950,Sunday,4,April
5577150313,2016-04-18,68.65,41,165,8629,Monday,4,April
5577150313,2016-04-19,70.46,42,159,8667,Tuesday,4,April
5577150313,2016-04-20,69.17,45,135,6535,Wednesday,4,April
5577150313,2016-04-21,72.31,43,168,10106,Thursday,4,April
5577150313,2016-04-22,64.65,43,132,8361,Friday,4,April
5577150313,2016-04-23,65.08,40,171,8519,Saturday,4,April
5577150313,2016-04-24,72.27,40,131,8338,Sunday,4,April
5577150313,2016-04-25,67.55,43,125,8877,Monday,4,April
5577150313,2016-04-26,65.36,40,122,8764,Tuesday,4,April
5577150313,2016-04-27,66.43,42,130,8756,Wednesday,4,April
5577150313,2016-04-28,70.69,40,171,9062,Thursday,4,April
5577150313,2016-04-29,66.27,42,141,8712,Friday,4,April
5577150313,2016-04-30,71.56,41,138,9037,Saturday,4,April
5577150313,2016-05-01,73.7,44,140,8923,Sunday,5,May
5577150313,2016-05-02,64.61,43,128,4120,Monday,5,May
5577150313,2016-05-03,70.0,42,154,8690,Tuesday,5,May
5577150313,2016-05-04,62.25,36,143,8195,Wednesday,5,May
5577150313,2016-05-05,72.21,50,141,4934,Thursday,5,May
5577150313,2016-05-06,70.48,48,134,3714,Friday,5,May
5577150313,2016-05-09,68.04,51,130,4373,Monday,5,May
5577150313,2016-05-10,75.29,42,172,11173,Tuesday,5,May
5577150313,2016-05-11,67.04,45,173,4474,Wednesday,5,May
6117666160,2016-04-15,97.94,57,137,5443,Friday,4,April
6117666160,2016-04-16,87.03,54,155,9688,Saturday,4,April
6117666160,2016-04-17,85.35,59,130,5824,Sunday,4,April
6117666160,2016-04-18,82.91,61,116,4125,Monday,4,April
6117666160,2016-04-19,83.51,53,124,9169,Tuesday,4,April
6117666160,2016-04-20,85.5,52,181,9182,Wednesday,4,April
6117666160,2016-04-21,79.4,52,154,7416,Thursday,4,April
6117666160,2016-04-22,81.7,53,139,9012,Friday,4,April
6117666160,2016-04-23,81.8,54,121,9450,Saturday,4,April
6117666160,2016-04-24,84.21,55,129,5331,Sunday,4,April
6117666160,2016-04-26,90.57,60,136,6372,Tuesday,4,April
6117666160,2016-04-27,83.15,52,126,9172,Wednesday,4,April
6117666160,2016-04-28,80.1,54,145,8044,Thursday,4,April
6117666160,2016-04-29,82.16,55,121,9180,Friday,4,April
6117666160,2016-04-30,85.35,53,189,5683,Saturday,4,April
6117666160,2016-05-01,77.44,55,114,4946,Sunday,5,May
6117666160,2016-05-02,91.67,61,123,2529,Monday,5,May
6117666160,2016-05-04,92.9,62,124,2270,Wednesday,5,May
6117666160,2016-05-05,84.72,52,120,9413,Thursday,5,May
6117666160,2016-05-06,76.57,54,126,3483,Friday,5,May
6117666160,2016-05-07,83.88,54,126,9044,Saturday,5,May
6117666160,2016-05-08,81.14,52,118,9173,Sunday,5,May
6117666160,2016-05-09,76.47,52,113,4950,Monday,5,May
6775888955,2016-04-13,82.72,55,135,4371,Wednesday,4,April
6775888955,2016-04-14,79.27,57,134,6099,Thursday,4,April
6775888955,2016-04-15,80.59,62,126,3455,Friday,4,April
6775888955,2016-04-16,108.62,70,143,589,Saturday,4,April
6775888955,2016-04-17,102.37,70,118,469,Sunday,4,April
6775888955,2016-04-18,97.72,66,177,2549,Monday,4,April
6775888955,2016-04-19,99.46,66,177,26,Tuesday,4,April
6775888955,2016-04-20,105.64,70,155,4389,Wednesday,4,April
6775888955,2016-04-22,90.89,66,123,340,Friday,4,April
6775888955,2016-04-24,109.79,70,140,347,Sunday,4,April
6775888955,2016-04-25,94.66,58,131,1805,Monday,4,April
6775888955,2016-04-26,99.66,56,143,1651,Tuesday,4,April
6775888955,2016-04-28,104.71,70,134,309,Thursday,4,April
6775888955,2016-04-29,81.79,70,109,19,Friday,4,April
6775888955,2016-04-30,96.1,68,125,1811,Saturday,4,April
6775888955,2016-05-01,107.14,70,129,1085,Sunday,5,May
6775888955,2016-05-06,98.86,71,135,2330,Friday,5,May
6775888955,2016-05-07,94.22,70,118,1127,Saturday,5,May
6962181067,2016-04-12,85.04,47,176,9196,Tuesday,4,April
6962181067,2016-04-13,80.52,59,149,8266,Wednesday,4,April
6962181067,2016-04-14,70.13,55,131,8089,Thursday,4,April
6962181067,2016-04-15,72.99,54,115,8355,Friday,4,April
6962181067,2016-04-16,82.04,55,142,9880,Saturday,4,April
6962181067,2016-04-17,76.66,58,139,8265,Sunday,4,April
6962181067,2016-04-18,76.92,55,134,7963,Monday,4,April
6962181067,2016-04-19,77.43,58,135,8612,Tuesday,4,April
6962181067,2016-04-20,74.91,50,137,8884,Wednesday,4,April
6962181067,2016-04-21,83.47,49,173,9147,Thursday,4,April
6962181067,2016-04-22,79.12,55,169,9065,Friday,4,April
6962181067,2016-04-23,84.65,52,152,9856,Saturday,4,April
6962181067,2016-04-24,68.82,49,114,8643,Sunday,4,April
6962181067,2016-04-25,73.99,51,142,9093,Monday,4,April
6962181067,2016-04-26,77.08,51,140,8917,Tuesday,4,April
6962181067,2016-04-27,73.0,53,142,8595,Wednesday,4,April
6962181067,2016-04-28,82.08,54,174,8928,Thursday,4,April
6962181067,2016-04-29,80.96,56,141,9101,Friday,4,April
6962181067,2016-04-30,80.16,53,141,8496,Saturday,4,April
6962181067,2016-05-01,73.29,56,127,8096,Sunday,5,May
6962181067,2016-05-02,79.67,56,140,9518,Monday,5,May
6962181067,2016-05-03,75.4,53,157,8757,Tuesday,5,May
6962181067,2016-05-04,79.47,55,174,9170,Wednesday,5,May
6962181067,2016-05-05,76.64,54,128,7761,Thursday,5,May
6962181067,2016-05-06,72.33,52,114,9026,Friday,5,May
6962181067,2016-05-07,76.98,57,125,8543,Saturday,5,May
6962181067,2016-05-08,75.0,54,116,7235,Sunday,5,May
6962181067,2016-05-09,77.02,56,181,8566,Monday,5,May
6962181067,2016-05-10,83.32,57,184,9066,Tuesday,5,May
6962181067,2016-05-11,79.25,53,145,9114,Wednesday,5,May
6962181067,2016-05-12,75.72,60,117,4123,Thursday,5,May
7007744171,2016-04-12,96.43,70,151,5506,Tuesday,4,April
7007744171,2016-04-13,93.01,70,144,5936,Wednesday,4,April
7007744171,2016-04-14,92.35,54,132,5982,Thursday,4,April
7007744171,2016-04-15,84.84,60,128,4249,Friday,4,April
7007744171,2016-04-16,79.95,61,129,5640,Saturday,4,April
7007744171,2016-04-17,85.98,63,127,5369,Sunday,4,April
7007744171,2016-04-18,93.21,65,139,6137,Monday,4,April
7007744171,2016-04-19,94.41,67,138,5737,Tuesday,4,April
7007744171,2016-04-20,96.8,70,151,5886,Wednesday,4,April
7007744171,2016-04-21,92.19,64,136,5820,Thursday,4,April
7007744171,2016-04-22,93.93,57,156,5825,Friday,4,April
7007744171,2016-04-23,93.29,66,135,3034,Saturday,4,April
7007744171,2016-04-24,95.19,66,122,4138,Sunday,4,April
7007744171,2016-04-25,94.64,60,137,6193,Monday,4,April
7007744171,2016-04-26,90.65,63,143,7129,Tuesday,4,April
7007744171,2016-04-27,95.19,71,137,5761,Wednesday,4,April
7007744171,2016-04-28,89.45,58,152,6310,Thursday,4,April
7007744171,2016-04-29,93.94,63,145,6555,Friday,4,April
7007744171,2016-04-30,80.32,61,124,5225,Saturday,4,April
7007744171,2016-05-01,84.96,57,128,4655,Sunday,5,May
7007744171,2016-05-02,86.11,58,147,5761,Monday,5,May
7007744171,2016-05-03,93.36,65,138,6039,Tuesday,5,May
7007744171,2016-05-05,97.9,70,133,4825,Thursday,5,May
7007744171,2016-05-06,87.15,62,166,5880,Friday,5,May
8792009665,2016-04-12,68.92,48,135,7587,Tuesday,4,April
8792009665,2016-04-13,68.51,43,121,8044,Wednesday,4,April
8792009665,2016-04-14,69.09,46,124,7461,Thursday,4,April
8792009665,2016-04-15,66.86,49,116,3605,Friday,4,April
8792009665,2016-04-20,69.62,44,120,7765,Wednesday,4,April
8792009665,2016-04-21,80.8,66,108,184,Thursday,4,April
8792009665,2016-04-22,70.26,44,131,8429,Friday,4,April
8792009665,2016-04-23,77.83,48,141,9095,Saturday,4,April
8792009665,2016-04-24,76.04,55,120,673,Sunday,4,April
8792009665,2016-04-26,69.84,54,114,5348,Tuesday,4,April
8792009665,2016-04-27,68.79,43,132,8406,Wednesday,4,April
8792009665,2016-04-28,76.7,44,134,9374,Thursday,4,April
8792009665,2016-04-29,80.91,48,158,8907,Friday,4,April
8792009665,2016-04-30,81.46,48,132,9022,Saturday,4,April
8792009665,2016-05-01,67.81,43,123,8613,Sunday,5,May
8792009665,2016-05-02,67.4,45,129,8217,Monday,5,May
8792009665,2016-05-03,74.37,45,119,8496,Tuesday,5,May
8792009665,2016-05-04,74.98,51,114,3615,Wednesday,5,May
8877689391,2016-04-12,86.55,47,164,8280,Tuesday,4,April
8877689391,2016-04-13,84.74,50,160,8577,Wednesday,4,April
8877689391,2016-04-14,85.32,50,169,8096,Thursday,4,April
8877689391,2016-04-15,91.93,48,165,9743,Friday,4,April
8877689391,2016-04-16,92.06,54,172,8431,Saturday,4,April
8877689391,2016-04-17,87.87,51,167,8071,Sunday,4,April
8877689391,2016-04-18,66.04,48,139,6542,Monday,4,April
8877689391,2016-04-19,86.59,49,178,7877,Tuesday,4,April
8877689391,2016-04-20,85.49,51,173,7807,Wednesday,4,April
8877689391,2016-04-21,87.13,53,170,7582,Thursday,4,April
8877689391,2016-04-22,82.81,47,163,7885,Friday,4,April
8877689391,2016-04-23,93.94,53,165,9225,Saturday,4,April
8877689391,2016-04-24,87.28,51,171,7100,Sunday,4,April
8877689391,2016-04-25,89.8,49,176,9312,Monday,4,April
8877689391,2016-04-26,67.56,49,125,7066,Tuesday,4,April
8877689391,2016-04-27,84.78,46,163,7991,Wednesday,4,April
8877689391,2016-04-28,66.81,47,153,6847,Thursday,4,April
8877689391,2016-04-29,64.46,47,131,6974,Friday,4,April
8877689391,2016-04-30,102.18,49,170,8066,Saturday,4,April
8877689391,2016-05-01,70.71,48,145,5983,Sunday,5,May
8877689391,2016-05-02,65.86,47,108,2928,Monday,5,May
8877689391,2016-05-03,67.47,48,150,7133,Tuesday,5,May
8877689391,2016-05-04,88.37,56,168,7191,Wednesday,5,May
8877689391,2016-05-05,72.85,53,142,6092,Thursday,5,May
8877689391,2016-05-06,92.84,47,177,7662,Friday,5,May
8877689391,2016-05-07,101.0,56,166,8699,Saturday,5,May
8877689391,2016-05-08,72.55,54,137,6403,Sunday,5,May
8877689391,2016-05-09,89.62,51,176,7612,Monday,5,May
8877689391,2016-05-10,71.54,50,141,6242,Tuesday,5,May
8877689391,2016-05-11,89.15,48,180,7913,Wednesday,5,May
8877689391,2016-05-12,71.09,53,122,3511,Thursday,5,May
